nb_thread 	 Taille_tab	diff1 somme deux vect	diff2 somme vect	diff3 multi vect
1	1000000	4	5	2
1	5000000	16	23	11
1	10000000	31	46	22
1	20000000	64	90	45
2	1000000	8	6	1
2	5000000	31	23	15
2	10000000	62	44	26
2	20000000	114	95	56
4	1000000	10	1	13
4	5000000	62	30	19
4	10000000	136	44	61
4	20000000	253	89	112
1	1000000	3	5	2
1	5000000	17	22	12
1	10000000	33	46	23
1	20000000	63	90	46
2	1000000	3	6	2
2	5000000	33	22	11
2	10000000	58	48	30
2	20000000	125	90	56
4	1000000	6	10	1
4	5000000	64	28	30
4	10000000	139	48	50
4	20000000	247	91	113
1	1000000	3	5	2
1	5000000	16	23	11
1	10000000	31	45	23
1	20000000	63	89	45
2	1000000	7	3	5
2	5000000	32	23	16
2	10000000	63	47	30
2	20000000	124	91	56
4	1000000	14	3	1
4	5000000	66	24	31
4	10000000	131	54	54
4	20000000	269	100	114
1	1000000	3	4	3
1	5000000	16	23	11
1	10000000	32	45	23
1	20000000	63	90	46
2	1000000	3	6	1
2	5000000	32	24	11
2	10000000	63	47	27
2	20000000	122	89	61
4	1000000	9	1	13
4	5000000	71	17	30
4	10000000	137	55	50
4	20000000	253	102	108
1	1000000	3	5	2
1	5000000	16	23	11
1	10000000	32	45	23
1	20000000	63	90	45
2	1000000	3	6	1
2	5000000	38	23	11
2	10000000	66	44	30
2	20000000	122	93	58
4	1000000	11	13	1
4	5000000	64	17	36
4	10000000	130	51	59
4	20000000	244	88	118
1	1000000	3	4	3
1	5000000	16	23	11
1	10000000	31	45	23
1	20000000	64	90	45
2	1000000	7	2	8
2	5000000	32	24	10
2	10000000	57	48	30
2	20000000	119	86	60
4	1000000	3	13	1
4	5000000	64	30	18
4	10000000	126	47	62
4	20000000	265	97	112
1	1000000	3	4	3
1	5000000	16	22	12
1	10000000	32	45	22
1	20000000	64	90	45
2	1000000	3	6	2
2	5000000	32	23	15
2	10000000	58	46	26
2	20000000	114	89	60
4	1000000	13	2	1
4	5000000	64	30	19
4	10000000	131	45	62
4	20000000	269	92	112
1	1000000	3	5	2
1	5000000	16	23	11
1	10000000	31	45	23
1	20000000	64	90	46
2	1000000	8	2	1
2	5000000	32	24	14
2	10000000	62	42	30
2	20000000	114	93	57
4	1000000	3	13	1
4	5000000	63	30	31
4	10000000	130	44	62
4	20000000	262	96	113
1	1000000	3	5	2
1	5000000	16	22	12
1	10000000	32	45	22
1	20000000	63	89	45
2	1000000	7	6	1
2	5000000	32	23	15
2	10000000	61	43	30
2	20000000	118	89	56
4	1000000	7	14	1
4	5000000	73	18	31
4	10000000	135	46	50
4	20000000	269	93	112
1	1000000	3	5	2
1	5000000	17	22	12
1	10000000	31	45	23
1	20000000	63	89	45
2	1000000	8	2	1
2	5000000	32	23	11
2	10000000	56	47	26
2	20000000	122	94	56
4	1000000	8	2	13
4	5000000	65	30	19
4	10000000	131	45	62
4	20000000	268	92	113
