nb_thread 	 nb_rows	 nb_cols 	temps_comptage
1	1000	1000	160
1	2000	2000	639
1	3000	3000	1439
1	5000	5000	3988
2	1000	1000	184
2	2000	2000	738
2	3000	3000	1675
2	5000	5000	4621
4	1000	1000	209
4	2000	2000	836
4	3000	3000	1897
4	5000	5000	5217
1	1000	1000	159
1	2000	2000	637
1	3000	3000	1435
1	5000	5000	4084
2	1000	1000	185
2	2000	2000	737
2	3000	3000	1697
2	5000	5000	4669
4	1000	1000	200
4	2000	2000	816
4	3000	3000	1886
4	5000	5000	5212
1	1000	1000	159
1	2000	2000	638
1	3000	3000	1440
1	5000	5000	3996
2	1000	1000	185
2	2000	2000	742
2	3000	3000	1679
2	5000	5000	4639
4	1000	1000	204
4	2000	2000	817
4	3000	3000	1890
4	5000	5000	5212
1	1000	1000	160
1	2000	2000	640
1	3000	3000	1437
1	5000	5000	3984
2	1000	1000	187
2	2000	2000	739
2	3000	3000	1671
2	5000	5000	4629
4	1000	1000	207
4	2000	2000	817
4	3000	3000	1890
4	5000	5000	5210
1	1000	1000	160
1	2000	2000	637
1	3000	3000	1436
1	5000	5000	3986
2	1000	1000	184
2	2000	2000	739
2	3000	3000	1673
2	5000	5000	4635
4	1000	1000	206
4	2000	2000	814
4	3000	3000	1889
4	5000	5000	5208
1	1000	1000	160
1	2000	2000	646
1	3000	3000	1436
1	5000	5000	3986
2	1000	1000	187
2	2000	2000	737
2	3000	3000	1681
2	5000	5000	4640
4	1000	1000	204
4	2000	2000	818
4	3000	3000	1892
4	5000	5000	5138
1	1000	1000	161
1	2000	2000	637
1	3000	3000	1435
1	5000	5000	3986
2	1000	1000	185
2	2000	2000	739
2	3000	3000	1670
2	5000	5000	4671
4	1000	1000	205
4	2000	2000	818
4	3000	3000	1889
4	5000	5000	5210
1	1000	1000	159
1	2000	2000	637
1	3000	3000	1435
1	5000	5000	3985
2	1000	1000	184
2	2000	2000	736
2	3000	3000	1666
2	5000	5000	4795
4	1000	1000	206
4	2000	2000	819
4	3000	3000	1881
4	5000	5000	5210
1	1000	1000	160
1	2000	2000	636
1	3000	3000	1435
1	5000	5000	3985
2	1000	1000	181
2	2000	2000	740
2	3000	3000	1673
2	5000	5000	4634
4	1000	1000	207
4	2000	2000	817
4	3000	3000	1890
4	5000	5000	5209
1	1000	1000	162
1	2000	2000	645
1	3000	3000	1454
1	5000	5000	4038
2	1000	1000	184
2	2000	2000	740
2	3000	3000	1675
2	5000	5000	4637
4	1000	1000	199
4	2000	2000	800
4	3000	3000	1892
4	5000	5000	5229
