nb_thread 	 nb_rows	 nb_cols 	temps_comptage 	temps_comptage_v2 
1	1000	1000	158	177
1	2000	2000	648	668
1	3000	3000	1426	1477
1	5000	5000	3959	4144
2	1000	1000	180	177
2	2000	2000	753	687
2	3000	3000	1775	1541
2	5000	5000	4718	4092
4	1000	1000	204	191
4	2000	2000	816	716
4	3000	3000	1859	1579
4	5000	5000	5452	4276
1	1000	1000	159	179
1	2000	2000	632	674
1	3000	3000	1435	1497
1	5000	5000	4030	4097
2	1000	1000	183	183
2	2000	2000	779	684
2	3000	3000	1723	1504
2	5000	5000	4713	4153
4	1000	1000	205	190
4	2000	2000	813	715
4	3000	3000	1844	1569
4	5000	5000	5037	4274
1	1000	1000	158	177
1	2000	2000	635	673
1	3000	3000	1424	1479
1	5000	5000	3945	4041
2	1000	1000	181	177
2	2000	2000	734	679
2	3000	3000	1668	1481
2	5000	5000	4605	4057
4	1000	1000	200	191
4	2000	2000	828	714
4	3000	3000	1853	1564
4	5000	5000	5204	4272
1	1000	1000	158	177
1	2000	2000	630	672
1	3000	3000	1425	1477
1	5000	5000	3958	4057
2	1000	1000	190	183
2	2000	2000	749	670
2	3000	3000	1655	1495
2	5000	5000	4600	4076
4	1000	1000	193	191
4	2000	2000	831	705
4	3000	3000	1831	1570
4	5000	5000	5308	4276
1	1000	1000	158	179
1	2000	2000	630	670
1	3000	3000	1422	1485
1	5000	5000	3951	4049
2	1000	1000	184	177
2	2000	2000	749	671
2	3000	3000	1663	1480
2	5000	5000	4570	4067
4	1000	1000	196	190
4	2000	2000	830	704
4	3000	3000	1832	1567
4	5000	5000	5318	4279
1	1000	1000	158	176
1	2000	2000	629	675
1	3000	3000	1416	1488
1	5000	5000	3954	4043
2	1000	1000	185	177
2	2000	2000	759	668
2	3000	3000	1658	1491
2	5000	5000	4567	4052
4	1000	1000	190	191
4	2000	2000	828	713
4	3000	3000	1831	1560
4	5000	5000	5321	4276
1	1000	1000	157	177
1	2000	2000	634	668
1	3000	3000	1421	1478
1	5000	5000	3943	4052
2	1000	1000	183	181
2	2000	2000	751	669
2	3000	3000	1664	1479
2	5000	5000	4565	4049
4	1000	1000	194	191
4	2000	2000	830	710
4	3000	3000	1835	1566
4	5000	5000	5325	4277
1	1000	1000	158	177
1	2000	2000	631	669
1	3000	3000	1420	1503
1	5000	5000	3981	4102
2	1000	1000	187	176
2	2000	2000	779	679
2	3000	3000	1675	1496
2	5000	5000	4586	4060
4	1000	1000	198	189
4	2000	2000	840	712
4	3000	3000	1837	1564
4	5000	5000	5351	4276
1	1000	1000	157	177
1	2000	2000	640	672
1	3000	3000	1422	1479
1	5000	5000	3973	4056
2	1000	1000	186	176
2	2000	2000	749	673
2	3000	3000	1675	1481
2	5000	5000	4573	4049
4	1000	1000	202	179
4	2000	2000	826	714
4	3000	3000	1824	1567
4	5000	5000	5313	4279
1	1000	1000	158	177
1	2000	2000	630	668
1	3000	3000	1421	1480
1	5000	5000	3941	4035
2	1000	1000	182	177
2	2000	2000	749	672
2	3000	3000	1656	1478
2	5000	5000	4559	4058
4	1000	1000	194	191
4	2000	2000	825	717
4	3000	3000	1831	1563
4	5000	5000	5320	4271
