nb_thread 	 nb_rows	 nb_cols 	diff1 somme deux vect	diff2 somme vect	diff3 multi vect
1	1000	1000	4	5	2
2	2000	2000	17	17	9
3	3000	3000	43	46	24
4	4000	4000	104	68	62
1	1000	1000	3	5	2
2	2000	2000	17	17	14
3	3000	3000	42	46	24
4	4000	4000	97	79	50
1	1000	1000	4	4	2
2	2000	2000	22	18	8
3	3000	3000	45	46	24
4	4000	4000	101	79	50
1	1000	1000	3	5	2
2	2000	2000	22	17	9
3	3000	3000	46	38	24
4	4000	4000	104	67	61
1	1000	1000	3	5	2
2	2000	2000	22	17	9
3	3000	3000	43	47	23
4	4000	4000	93	79	62
1	1000	1000	3	4	3
2	2000	2000	18	17	13
3	3000	3000	43	46	25
4	4000	4000	99	79	50
1	1000	1000	3	5	2
2	2000	2000	18	21	9
3	3000	3000	46	38	33
4	4000	4000	96	79	49
1	1000	1000	3	4	3
2	2000	2000	22	17	10
3	3000	3000	53	38	24
4	4000	4000	95	79	50
1	1000	1000	3	5	2
2	2000	2000	18	21	10
3	3000	3000	45	38	24
4	4000	4000	107	67	62
1	1000	1000	4	4	3
2	2000	2000	18	17	13
3	3000	3000	46	46	24
4	4000	4000	96	79	61
