nb_thread 	 nb_rows	 nb_cols 	diff1 somme deux vect	diff2 somme vect	diff3 multi vect
1	100	100	1	0	0
2	200	200	1	0	0
3	300	300	1	0	0
4	400	400	1	0	0
1	100	100	0	0	0
2	200	200	0	0	0
3	300	300	0	1	0
4	400	400	0	0	0
1	100	100	0	0	0
2	200	200	0	0	0
3	300	300	0	0	0
4	400	400	0	0	1
1	100	100	0	0	0
2	200	200	0	0	0
3	300	300	0	0	0
4	400	400	0	1	2
1	100	100	0	0	0
2	200	200	0	0	0
3	300	300	4	0	0
4	400	400	0	9	0
1	100	100	0	0	0
2	200	200	0	4	0
3	300	300	0	0	0
4	400	400	0	1	0
1	100	100	0	0	0
2	200	200	0	0	0
3	300	300	0	0	0
4	400	400	0	0	1
1	100	100	0	0	0
2	200	200	0	1	0
3	300	300	0	0	0
4	400	400	0	0	0
1	100	100	0	0	0
2	200	200	0	0	0
3	300	300	0	0	0
4	400	400	0	0	0
1	100	100	0	0	0
2	200	200	0	0	0
3	300	300	0	0	0
4	400	400	1	0	0
