nb_thread 	 nb_rows	 nb_cols 	diff1_somme_deux_vect	diff2_somme_vect	diff3_multi_vect
1	1000	1000	4	5	2
2	2000	2000	17	17	13
3	3000	3000	48	46	24
4	4000	4000	97	79	50
1	1000	1000	3	5	2
2	2000	2000	17	17	9
3	3000	3000	49	46	24
4	4000	4000	102	83	50
1	1000	1000	4	4	3
2	2000	2000	17	17	13
3	3000	3000	48	38	24
4	4000	4000	104	74	61
1	1000	1000	3	5	2
2	2000	2000	16	17	14
3	3000	3000	49	38	32
4	4000	4000	100	82	57
1	1000	1000	3	5	2
2	2000	2000	19	17	9
3	3000	3000	46	46	24
4	4000	4000	101	77	57
1	1000	1000	4	4	3
2	2000	2000	18	17	13
3	3000	3000	40	46	24
4	4000	4000	94	80	49
1	1000	1000	4	4	3
2	2000	2000	21	17	10
3	3000	3000	46	46	25
4	4000	4000	96	78	60
1	1000	1000	3	5	2
2	2000	2000	17	17	14
3	3000	3000	48	46	24
4	4000	4000	102	79	50
1	1000	1000	3	5	2
2	2000	2000	22	17	9
3	3000	3000	47	38	24
4	4000	4000	101	83	48
1	1000	1000	4	4	3
2	2000	2000	16	21	9
3	3000	3000	45	46	25
4	4000	4000	102	79	51
