nb_thread 	 nb_rows	 nb_cols 	temps_comptage 	temps_comptage_v2 
1	1000	1000	158	177
2	2000	2000	736	672
3	3000	3000	1785	1524
4	4000	4000	3273	2751
1	1000	1000	157	177
2	2000	2000	743	672
3	3000	3000	1818	1524
4	4000	4000	3332	2746
1	1000	1000	157	177
2	2000	2000	737	676
3	3000	3000	1757	1523
4	4000	4000	3287	2750
1	1000	1000	158	176
2	2000	2000	740	672
3	3000	3000	1751	1524
4	4000	4000	3277	2746
1	1000	1000	158	176
2	2000	2000	740	671
3	3000	3000	1759	1525
4	4000	4000	3287	2752
1	1000	1000	158	176
2	2000	2000	739	672
3	3000	3000	1756	1525
4	4000	4000	3289	2797
1	1000	1000	158	177
2	2000	2000	741	680
3	3000	3000	1753	1525
4	4000	4000	3291	2749
1	1000	1000	157	177
2	2000	2000	740	681
3	3000	3000	1752	1532
4	4000	4000	3285	2760
1	1000	1000	157	177
2	2000	2000	748	673
3	3000	3000	1755	1527
4	4000	4000	3276	2752
1	1000	1000	158	177
2	2000	2000	757	672
3	3000	3000	1756	1524
4	4000	4000	3289	2751
