nb_thread 	 nb_rows	 nb_cols 	diff1 somme deux vect	diff2 somme vect	diff3 multi vect
1	10	10	0	0	0
1	50	50	0	0	0
1	100	100	0	0	0
1	2000	2000	18	18	10
2	10	10	0	0	0
2	50	50	0	0	0
2	100	100	0	0	0
2	2000	2000	19	17	9
4	10	10	1	0	0
4	50	50	8	6	4
4	100	100	0	0	0
4	2000	2000	30	17	16
1	10	10	0	0	0
1	50	50	0	0	0
1	100	100	0	0	0
1	2000	2000	18	19	10
2	10	10	0	0	0
2	50	50	0	0	0
2	100	100	0	0	0
2	2000	2000	18	21	9
4	10	10	0	0	0
4	50	50	0	0	0
4	100	100	0	0	0
4	2000	2000	25	16	16
1	10	10	0	0	0
1	50	50	0	0	0
1	100	100	0	1	0
1	2000	2000	19	19	10
2	10	10	0	0	0
2	50	50	0	0	0
2	100	100	0	0	0
2	2000	2000	19	18	11
4	10	10	0	0	0
4	50	50	0	0	0
4	100	100	0	0	0
4	2000	2000	24	18	17
1	10	10	0	0	0
1	50	50	0	0	0
1	100	100	0	0	0
1	2000	2000	18	18	10
2	10	10	0	0	0
2	50	50	0	0	0
2	100	100	0	0	0
2	2000	2000	16	21	9
4	10	10	0	0	0
4	50	50	0	0	0
4	100	100	0	0	0
4	2000	2000	25	17	23
1	10	10	0	0	0
1	50	50	0	0	0
1	100	100	0	0	0
1	2000	2000	19	18	10
2	10	10	0	0	0
2	50	50	0	0	0
2	100	100	0	0	0
2	2000	2000	20	19	10
4	10	10	0	0	0
4	50	50	3	0	0
4	100	100	0	0	0
4	2000	2000	24	17	15
1	10	10	0	0	0
1	50	50	0	0	0
1	100	100	0	0	0
1	2000	2000	19	18	10
2	10	10	0	0	0
2	50	50	0	0	0
2	100	100	0	0	0
2	2000	2000	18	17	14
4	10	10	0	0	0
4	50	50	0	0	0
4	100	100	0	0	0
4	2000	2000	25	19	13
1	10	10	0	0	0
1	50	50	0	0	0
1	100	100	0	0	0
1	2000	2000	19	18	10
2	10	10	0	0	0
2	50	50	0	0	0
2	100	100	0	0	0
2	2000	2000	20	18	10
4	10	10	0	0	0
4	50	50	0	0	0
4	100	100	0	0	0
4	2000	2000	25	17	16
1	10	10	0	0	0
1	50	50	0	0	0
1	100	100	0	0	0
1	2000	2000	19	18	10
2	10	10	0	0	0
2	50	50	0	0	0
2	100	100	0	0	0
2	2000	2000	18	18	11
4	10	10	0	0	0
4	50	50	0	0	0
4	100	100	0	0	0
4	2000	2000	24	18	16
1	10	10	0	0	0
1	50	50	0	0	0
1	100	100	0	0	0
1	2000	2000	19	18	10
2	10	10	0	0	0
2	50	50	0	0	0
2	100	100	0	0	0
2	2000	2000	19	18	11
4	10	10	0	0	0
4	50	50	0	0	0
4	100	100	0	0	0
4	2000	2000	25	18	15
1	10	10	0	0	0
1	50	50	0	0	0
1	100	100	0	0	0
1	2000	2000	18	18	10
2	10	10	0	0	0
2	50	50	0	0	0
2	100	100	0	0	0
2	2000	2000	19	18	11
4	10	10	0	0	0
4	50	50	0	0	0
4	100	100	0	0	0
4	2000	2000	20	19	17
